time_epoch,time_utc,open,high,low,close,tick_volume,spread,real_volume
1733101200,2024-12-02 01:00:00,44974.41,44983.41,44924.91,44929.91,1595,160,0
1733103000,2024-12-02 01:30:00,44930.41,44938.41,44918.91,44930.91,979,160,0
1733104800,2024-12-02 02:00:00,44930.91,44954.91,44921.66,44943.16,1638,160,0
1733106600,2024-12-02 02:30:00,44943.91,44945.16,44913.91,44936.91,1648,160,0
1733108400,2024-12-02 03:00:00,44936.91,44940.91,44921.91,44931.91,1551,160,0
1733110200,2024-12-02 03:30:00,44931.91,44938.91,44903.91,44904.91,1227,160,0
1733112000,2024-12-02 04:00:00,44904.91,44905.91,44888.91,44897.91,809,160,0
1733113800,2024-12-02 04:30:00,44897.91,44908.91,44892.66,44904.91,694,160,0
1733115600,2024-12-02 05:00:00,44904.91,44910.91,44896.41,44905.66,688,160,0
1733117400,2024-12-02 05:30:00,44905.41,44910.91,44882.91,44886.91,697,160,0
1733119200,2024-12-02 06:00:00,44886.91,44901.66,44882.91,44896.91,745,160,0
1733121000,2024-12-02 06:30:00,44896.91,44910.91,44890.91,44891.91,579,160,0
1733122800,2024-12-02 07:00:00,44891.91,44908.91,44888.41,44894.66,630,160,0
1733124600,2024-12-02 07:30:00,44894.91,44896.66,44885.91,44886.91,541,160,0
1733126400,2024-12-02 08:00:00,44886.91,44886.91,44862.91,44870.91,659,160,0
1733128200,2024-12-02 08:30:00,44871.91,44893.91,44865.91,44892.91,608,160,0
1733130000,2024-12-02 09:00:00,44892.91,44897.66,44869.01,44888.01,1041,140,0
1733131800,2024-12-02 09:30:00,44890.01,44890.26,44860.01,44872.76,878,140,0
1733133600,2024-12-02 10:00:00,44873.76,44906.01,44862.01,44881.01,1561,140,0
1733135400,2024-12-02 10:30:00,44881.01,44906.01,44877.01,44902.01,962,140,0
1733137200,2024-12-02 11:00:00,44902.01,44920.01,44898.01,44905.01,1200,140,0
1733139000,2024-12-02 11:30:00,44904.01,44928.51,44889.01,44916.01,988,140,0
1733140800,2024-12-02 12:00:00,44916.01,44949.01,44905.01,44923.01,1452,140,0
1733142600,2024-12-02 12:30:00,44923.26,44928.01,44909.01,44921.01,950,140,0
1733144400,2024-12-02 13:00:00,44921.01,44965.01,44921.01,44947.01,924,140,0
1733146200,2024-12-02 13:30:00,44947.01,44954.01,44927.01,44937.01,1138,140,0
1733148000,2024-12-02 14:00:00,44938.26,44975.01,44933.01,44952.01,1474,140,0
1733149800,2024-12-02 14:30:00,44952.01,44969.01,44937.01,44946.01,1426,140,0
1733151600,2024-12-02 15:00:00,44946.01,44971.01,44936.76,44967.26,1394,140,0
1733153400,2024-12-02 15:30:00,44967.26,44973.01,44930.01,44951.01,1792,140,0
1733155200,2024-12-02 16:00:00,44951.01,45006.01,44906.01,45006.01,2219,140,0
1733157000,2024-12-02 16:30:00,45014.51,45056.26,44774.26,44806.01,11590,90,0
1733158800,2024-12-02 17:00:00,44806.51,44827.26,44739.76,44769.51,8525,90,0
1733160600,2024-12-02 17:30:00,44770.01,44861.26,44760.26,44794.26,7278,65,0
1733162400,2024-12-02 18:00:00,44795.26,44858.26,44753.26,44841.26,5739,90,0
1733164200,2024-12-02 18:30:00,44841.26,44865.26,44806.26,44828.26,4477,90,0
1733166000,2024-12-02 19:00:00,44828.26,44848.26,44780.26,44782.51,3374,90,0
1733167800,2024-12-02 19:30:00,44782.51,44823.01,44779.26,44793.26,3185,90,0
1733169600,2024-12-02 20:00:00,44793.26,44853.26,44784.51,44836.26,2851,90,0
1733171400,2024-12-02 20:30:00,44836.26,44868.26,44818.26,44860.26,2978,90,0
1733173200,2024-12-02 21:00:00,44860.26,44864.26,44822.26,44856.26,3439,90,0
1733175000,2024-12-02 21:30:00,44856.26,44884.26,44849.26,44872.26,2733,90,0
1733176800,2024-12-02 22:00:00,44871.26,44890.01,44846.51,44856.26,3464,90,0
1733178600,2024-12-02 22:30:00,44856.26,44859.26,44802.26,44824.26,4972,90,0
1733180400,2024-12-02 23:00:00,44823.51,44851.91,44785.41,44789.91,1706,90,0
1733182200,2024-12-02 23:30:00,44789.91,44802.91,44784.66,44799.91,736,160,0
1733187600,2024-12-03 01:00:00,44804.61,44832.11,44792.61,44818.11,661,160,0
1733189400,2024-12-03 01:30:00,44817.61,44818.61,44802.11,44810.11,510,160,0
1733191200,2024-12-03 02:00:00,44809.61,44820.11,44799.86,44801.11,724,160,0
1733193000,2024-12-03 02:30:00,44800.61,44809.11,44793.61,44804.11,638,160,0
1733194800,2024-12-03 03:00:00,44804.11,44804.11,44788.36,44800.11,944,160,0
1733196600,2024-12-03 03:30:00,44800.11,44800.11,44780.11,44782.11,761,160,0
1733198400,2024-12-03 04:00:00,44781.61,44787.61,44774.86,44779.11,558,160,0
1733200200,2024-12-03 04:30:00,44780.11,44790.11,44777.11,44787.61,420,160,0
1733202000,2024-12-03 05:00:00,44787.61,44814.61,44787.11,44812.11,556,160,0
1733203800,2024-12-03 05:30:00,44812.61,44834.11,44812.11,44824.11,549,160,0
1733205600,2024-12-03 06:00:00,44824.11,44834.11,44823.11,44831.36,435,160,0
1733207400,2024-12-03 06:30:00,44831.86,44831.86,44820.11,44820.11,318,160,0
1733209200,2024-12-03 07:00:00,44820.11,44827.11,44810.61,44825.11,501,160,0
1733211000,2024-12-03 07:30:00,44825.11,44837.11,44823.11,44833.11,508,160,0
1733212800,2024-12-03 08:00:00,44833.11,44839.11,44802.61,44804.11,480,160,0
1733214600,2024-12-03 08:30:00,44804.11,44806.11,44793.86,44796.36,368,160,0
1733216400,2024-12-03 09:00:00,44796.36,44810.21,44788.11,44807.21,594,140,0
1733218200,2024-12-03 09:30:00,44805.21,44809.21,44781.46,44794.71,685,140,0
1733220000,2024-12-03 10:00:00,44794.71,44846.21,44787.21,44845.21,2185,140,0
1733221800,2024-12-03 10:30:00,44845.21,44852.71,44834.21,44846.96,1531,140,0
1733223600,2024-12-03 11:00:00,44846.96,44846.96,44807.96,44813.21,1597,140,0
1733225400,2024-12-03 11:30:00,44812.21,44830.21,44800.46,44828.21,1010,140,0
1733227200,2024-12-03 12:00:00,44828.21,44833.71,44811.21,44814.21,766,140,0
1733229000,2024-12-03 12:30:00,44814.21,44816.21,44797.21,44799.21,926,140,0
1733230800,2024-12-03 13:00:00,44799.21,44805.21,44770.71,44795.21,1208,140,0
1733232600,2024-12-03 13:30:00,44795.21,44818.71,44784.71,44812.21,779,140,0
1733234400,2024-12-03 14:00:00,44813.21,44837.21,44809.21,44811.21,1172,140,0
1733236200,2024-12-03 14:30:00,44810.96,44828.21,44804.21,44807.21,1118,140,0
1733238000,2024-12-03 15:00:00,44808.21,44831.21,44806.21,44820.21,1115,140,0
1733239800,2024-12-03 15:30:00,44820.21,44835.71,44796.21,44803.21,1535,140,0
1733241600,2024-12-03 16:00:00,44803.46,44870.46,44777.96,44861.71,3271,140,0
1733243400,2024-12-03 16:30:00,44862.21,44911.46,44685.46,44749.96,11062,90,0
1733245200,2024-12-03 17:00:00,44749.96,44759.96,44683.46,44685.46,8702,90,0
1733247000,2024-12-03 17:30:00,44685.46,44717.46,44651.46,44703.46,6076,90,0
1733248800,2024-12-03 18:00:00,44704.46,44715.46,44640.96,44673.46,5154,90,0
1733250600,2024-12-03 18:30:00,44672.96,44675.46,44606.46,44630.46,4645,90,0
1733252400,2024-12-03 19:00:00,44631.46,44741.96,44628.46,44737.46,3293,90,0
1733254200,2024-12-03 19:30:00,44738.96,44812.96,44724.96,44789.21,3569,90,0
1733256000,2024-12-03 20:00:00,44789.46,44796.96,44762.46,44769.46,2647,90,0
1733257800,2024-12-03 20:30:00,44769.46,44774.96,44714.96,44732.46,3140,90,0
1733259600,2024-12-03 21:00:00,44732.46,44760.46,44695.96,44758.46,2923,90,0
1733261400,2024-12-03 21:30:00,44758.96,44798.46,44753.96,44779.46,2611,90,0
1733263200,2024-12-03 22:00:00,44779.46,44779.46,44743.46,44750.46,2539,90,0
1733265000,2024-12-03 22:30:00,44749.96,44778.46,44721.46,44734.46,4040,90,0
1733266800,2024-12-03 23:00:00,44734.21,44910.61,44657.11,44850.86,3458,90,0
1733268600,2024-12-03 23:30:00,44850.86,44854.11,44797.11,44798.11,1081,160,0
1733274000,2024-12-04 01:00:00,44839.26,44841.26,44803.26,44831.26,1051,160,0
1733275800,2024-12-04 01:30:00,44831.26,44854.26,44825.51,44852.26,1003,160,0
1733277600,2024-12-04 02:00:00,44852.01,44853.26,44828.51,44832.01,1095,160,0
1733279400,2024-12-04 02:30:00,44832.01,44840.26,44818.51,44831.26,1043,160,0
