"source_year","source_entry","Market_and_Exchange_Names","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","Open_Interest_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","FutOnly_or_Combined"
"2022","FinFutYY.txt","DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE","2022-01-04","124603","101757","25797","16229","FutOnly"
"2022","FinFutYY.txt","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2022-01-04","209742","210931","35097","45095","FutOnly"
"2022","FinFutYY.txt","DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE","2022-01-11","124603","93134","23235","13727","FutOnly"
"2022","FinFutYY.txt","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2022-01-11","209742","220222","45935","48243","FutOnly"
"2022","FinFutYY.txt","DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE","2022-01-18","124603","94701","21599","12251","FutOnly"
"2022","FinFutYY.txt","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2022-01-18","209742","235810","51366","53453","FutOnly"
"2022","FinFutYY.txt","DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE","2022-01-25","124603","92635","22929","11146","FutOnly"
"2022","FinFutYY.txt","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2022-01-25","209742","243347","61464","47679","FutOnly"
"2022","FinFutYY.txt","DOW JONES INDUSTRIAL AVG- x $5 - CHICAGO BOARD OF TRADE","2022-02-01","124603","87365","18587","15015","FutOnly"
"2022","FinFutYY.txt","NASDAQ-100 STOCK INDEX (MINI) - CHICAGO MERCANTILE EXCHANGE","2022-02-01","209742","239334","43780","52157","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-02-08","124603","82794","16690","14741","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-02-08","209742","233767","53194","49853","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-02-15","124603","81392","16599","11328","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-02-15","209742","235945","58365","53352","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-02-22","124603","79592","16744","11472","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-02-22","209742","257929","56665","57857","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-03-01","124603","78067","13665","15462","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-03-01","209742","249537","54527","45619","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-03-08","124603","77560","13542","13053","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-03-08","209742","248009","61795","46107","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-03-15","124603","92557","12665","9651","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-03-15","209742","264733","53805","50902","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-03-22","124603","63024","8157","6605","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-03-22","209742","212808","31043","70492","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-03-29","124603","65308","7965","9186","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-03-29","209742","223320","31433","86160","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-04-05","124603","66632","9103","8854","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-04-05","209742","232689","37633","92938","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-04-12","124603","71185","9757","10384","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-04-12","209742","228302","47142","75179","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-04-19","124603","77622","13608","11564","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-04-19","209742","237109","47473","72012","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-04-26","124603","84463","17476","14543","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-04-26","209742","236977","48537","59896","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-05-03","124603","79448","16943","12566","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-05-03","209742","226722","49744","54819","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-05-10","124603","82940","18871","14054","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-05-10","209742","249921","61804","52194","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-05-17","124603","80197","17668","10384","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-05-17","209742","243553","55014","52989","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-05-24","124603","83020","18807","12789","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-05-24","209742","255244","51886","66349","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-05-31","124603","84482","15067","11309","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-05-31","209742","263080","48239","80106","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-06-07","124603","80410","14844","12450","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-06-07","209742","268293","51532","86922","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-06-14","124603","93583","21591","15216","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-06-14","209742","302267","61567","81001","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-06-21","124603","69024","12937","10898","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-06-21","209742","236624","52559","66582","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-06-28","124603","66759","12364","8859","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-06-28","209742","248045","56558","75548","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-07-05","124603","67437","13679","9643","FutOnly"
"2022","FinFutYY.txt","NASDAQ MINI - CHICAGO MERCANTILE EXCHANGE","2022-07-05","209742","259449","57344","73263","FutOnly"
"2022","FinFutYY.txt","DJIA x $5 - CHICAGO BOARD OF TRADE","2022-07-12","124603","67254","14368","8817","FutOnly"
