time_epoch,time_server,open,high,low,close,tick_volume,spread,real_volume
1656633600,2022.07.01 00:00:00,135.672,135.756,135.636,135.726,667,23,0
1656637200,2022.07.01 01:00:00,135.718,135.796,135.708,135.73,3343,11,0
1656640800,2022.07.01 02:00:00,135.73,135.867,135.725,135.794,4117,11,0
1656644400,2022.07.01 03:00:00,135.794,135.98,135.762,135.952,12561,11,0
1656648000,2022.07.01 04:00:00,135.951,135.954,135.663,135.708,12116,11,0
1656651600,2022.07.01 05:00:00,135.708,135.708,135.223,135.306,14988,11,0
1656655200,2022.07.01 06:00:00,135.306,135.366,134.972,135.112,16856,11,0
1656658800,2022.07.01 07:00:00,135.113,135.213,134.978,135.085,13171,11,0
1656662400,2022.07.01 08:00:00,135.085,135.087,134.784,134.974,15562,11,0
1656666000,2022.07.01 09:00:00,134.974,135.088,134.736,134.918,15573,11,0
1656669600,2022.07.01 10:00:00,134.918,135.347,134.841,135.302,16060,11,0
1656673200,2022.07.01 11:00:00,135.302,135.68,135.243,135.5,12145,11,0
1656676800,2022.07.01 12:00:00,135.499,135.662,135.375,135.641,9548,11,0
1656680400,2022.07.01 13:00:00,135.641,135.655,135.274,135.348,8205,11,0
1656684000,2022.07.01 14:00:00,135.348,135.375,135.028,135.282,13135,11,0
1656687600,2022.07.01 15:00:00,135.282,135.381,135.064,135.269,16507,11,0
1656691200,2022.07.01 16:00:00,135.269,135.547,135.189,135.433,19755,11,0
1656694800,2022.07.01 17:00:00,135.432,135.432,134.785,135.116,32076,11,0
1656698400,2022.07.01 18:00:00,135.116,135.322,134.989,135.083,15587,11,0
1656702000,2022.07.01 19:00:00,135.083,135.374,135.05,135.27,9585,11,0
1656705600,2022.07.01 20:00:00,135.27,135.391,135.257,135.287,5435,11,0
1656709200,2022.07.01 21:00:00,135.287,135.393,135.196,135.259,3821,11,0
1656712800,2022.07.01 22:00:00,135.259,135.321,135.165,135.286,2818,11,0
1656716400,2022.07.01 23:00:00,135.286,135.316,135.165,135.223,1539,11,0
1656892800,2022.07.04 00:00:00,135.198,135.291,135.198,135.232,840,16,0
